customer_id,campaign_id,campaign_name,start_date,end_date,primary_segment,customer_tier,customer_segment,treatment_grp,cnvrsn_flg,campaign_revenue,offer_cost,contact_cost,total_campaign_cost
1,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
2,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,4.58,0.5,0.1,0.6
3,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
4,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
5,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
6,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
7,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
8,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
9,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
10,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
11,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
12,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,6.7,0.5,0.1,0.6
13,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
14,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
15,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
16,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
17,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
18,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
19,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
20,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
21,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
22,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
23,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
24,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
25,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,Y,7.22,0.0,0.0,0.0
26,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
27,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
28,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,Y,6.6,0.0,0.0,0.0
29,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
30,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
31,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
32,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
33,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
34,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
35,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
36,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
37,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
38,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,3.75,0.5,0.1,0.6
39,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
40,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
41,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
42,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
43,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
44,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
45,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
46,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
47,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
48,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
49,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
50,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
51,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
52,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
53,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
54,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
55,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
56,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,7.72,0.5,0.1,0.6
57,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
58,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
59,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,CONTROL,N,0.0,0.0,0.0,0.0
60,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
61,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
62,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
63,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
64,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
65,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
66,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
67,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,Y,3.95,0.5,0.1,0.6
68,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
69,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
70,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
71,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
72,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
73,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
74,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
75,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
76,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
77,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
78,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Champion,High Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
79,CMP-2025-002,Summer Retention Offer,2025-08-01,2025-08-31,Win-Back Growth,Medium Value,Win-Back,TEST,N,0.0,0.0,0.1,0.1
