campaign_id,campaign_name,customer_segment,start_date,end_date,control_audience,control_revenue,control_cnvrsn,control_conversion_rate,control_rpc,test_audience,test_revenue,test_cnvrsn,test_conversion_rate,test_rpc,total_campaign_cost,offer_cost,contact_cost,absolute_lift,expct_rvn,incremental_rev,marketing_roi,incremental_conversions,campaign_revenue,campaign_conversions,segment_audience,segment_rpr,segment_conversion_rate
CMP-2026-003,Summer Win Big Offer,Win-Back,2026-07-01,2026-07-31,252,91.13,20,0.08,0.36,1008,503.18,100,0.1,0.5,150.8,50.0,100.8,2.0,362.88,140.3,-0.07,20,594.31,120,1260,4.95,0.1
CMP-2025-002,Summer Retention Offer,Growth,2025-08-01,2025-08-31,870,592.21,120,0.14,0.68,3478,3439.0,687,0.2,0.99,691.3,343.5,347.8,6.0,2365.04,1073.96,0.55,209,4031.21,807,4348,5.0,0.19
CMP-2026-004,Spring Reactivation TM,Champion,2026-03-01,2026-04-30,573,766.86,133,0.23,1.34,2294,3664.16,649,0.28,1.6,553.9,324.5,229.4,5.0,3073.96,590.2,0.07,115,4431.02,782,2867,5.67,0.27
CMP-2026-004,Spring Reactivation TM,Win-Back,2026-03-01,2026-04-30,252,245.58,44,0.17,0.97,1008,973.66,191,0.19,0.97,196.3,95.5,100.8,2.0,977.76,-4.1,-1.02,20,1219.24,235,1260,5.19,0.19
CMP-2026-003,Summer Win Big Offer,Champion,2026-07-01,2026-07-31,573,601.24,119,0.21,1.05,2294,3167.17,567,0.25,1.38,512.9,283.5,229.4,4.0,2408.7,758.47,0.48,92,3768.41,686,2867,5.49,0.24
CMP-2025-002,Summer Retention Offer,Champion,2025-08-01,2025-08-31,572,612.16,112,0.2,1.07,2295,2927.83,521,0.23,1.28,490.0,260.5,229.5,3.0,2455.65,472.18,-0.04,69,3539.99,633,2867,5.59,0.22
CMP-2025-002,Summer Retention Offer,Win-Back,2025-08-01,2025-08-31,253,93.75,20,0.08,0.37,1007,532.5,107,0.11,0.53,154.2,53.5,100.7,3.0,372.59,159.91,0.04,30,626.25,127,1260,4.93,0.1
CMP-2026-003,Summer Win Big Offer,Churn Watchlist,2026-07-01,2026-07-31,425,291.78,52,0.12,0.69,1699,1555.07,288,0.17,0.92,313.9,144.0,169.9,5.0,1172.31,382.76,0.22,85,1846.85,340,2124,5.43,0.16
CMP-2026-004,Spring Reactivation TM,Growth,2026-03-01,2026-04-30,870,896.2,172,0.2,1.03,3478,4143.57,822,0.24,1.19,758.8,411.0,347.8,4.0,3582.34,561.23,-0.26,139,5039.77,994,4348,5.07,0.23
CMP-2026-004,Spring Reactivation TM,Churn Watchlist,2026-03-01,2026-04-30,425,421.98,69,0.16,0.99,1699,1663.81,315,0.19,0.98,327.4,157.5,169.9,3.0,1682.01,-18.2,-1.06,51,2085.79,384,2124,5.43,0.18
CMP-2025-002,Summer Retention Offer,Churn Watchlist,2025-08-01,2025-08-31,425,236.02,46,0.11,0.56,1699,1526.33,282,0.17,0.9,310.9,141.0,169.9,6.0,951.44,574.89,0.85,102,1762.35,328,2124,5.37,0.15
CMP-2026-003,Summer Win Big Offer,Growth,2026-07-01,2026-07-31,870,579.46,111,0.13,0.67,3478,3493.95,687,0.2,1.0,691.3,343.5,347.8,7.0,2330.26,1163.69,0.68,243,4073.41,798,4348,5.1,0.18
