campaign_id,campaign_name,customer_segment,customer_tier,primary_segment,treatment_grp,engagement_segment,category_engagement_tier,start_date,end_date,cmpgn_rvn,total_cost,audience,conversions,rvn_per_customer,rvn_per_converter
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,CONTROL,High,High Engagement,2025-08-01,2025-08-31,0.0,0.0,3,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,CONTROL,High,Medium Engagement,2025-08-01,2025-08-31,0.0,0.0,1,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,43.21,0.0,30,7,1.44,6.17
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,CONTROL,Very High,Low Engagement,2025-08-01,2025-08-31,28.03,0.0,17,4,1.65,7.01
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,CONTROL,Very High,Medium Engagement,2025-08-01,2025-08-31,25.92,0.0,12,5,2.16,5.18
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,TEST,High,High Engagement,2025-08-01,2025-08-31,11.12,2.4,14,2,0.79,5.56
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,TEST,High,Low Engagement,2025-08-01,2025-08-31,15.66,1.8,8,2,1.96,7.83
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,TEST,High,Medium Engagement,2025-08-01,2025-08-31,33.51,2.7,12,3,2.79,11.17
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,TEST,Moderate,High Engagement,2025-08-01,2025-08-31,0.0,0.1,1,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,TEST,Moderate,Low Engagement,2025-08-01,2025-08-31,8.42,0.6,1,1,8.42,8.42
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,TEST,Moderate,Medium Engagement,2025-08-01,2025-08-31,0.0,0.2,2,0,0.0,0.0
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,TEST,Very High,High Engagement,2025-08-01,2025-08-31,160.99,28.3,128,31,1.26,5.19
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,TEST,Very High,Low Engagement,2025-08-01,2025-08-31,90.08,13.3,58,15,1.55,6.01
CMP-2025-002,Summer Retention Offer,Champion,High Value,Champion,TEST,Very High,Medium Engagement,2025-08-01,2025-08-31,153.33,19.7,77,24,1.99,6.39
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,CONTROL,High,High Engagement,2025-08-01,2025-08-31,118.21,0.0,105,20,1.13,5.91
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,CONTROL,High,Low Engagement,2025-08-01,2025-08-31,34.07,0.0,48,8,0.71,4.26
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,CONTROL,High,Medium Engagement,2025-08-01,2025-08-31,49.07,0.0,46,8,1.07,6.13
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,CONTROL,Moderate,High Engagement,2025-08-01,2025-08-31,72.25,0.0,58,13,1.25,5.56
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,CONTROL,Moderate,Low Engagement,2025-08-01,2025-08-31,39.76,0.0,36,7,1.1,5.68
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,CONTROL,Moderate,Medium Engagement,2025-08-01,2025-08-31,45.71,0.0,33,8,1.39,5.71
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,CONTROL,Very High,High Engagement,2025-08-01,2025-08-31,54.91,0.0,61,14,0.9,3.92
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,CONTROL,Very High,Low Engagement,2025-08-01,2025-08-31,22.7,0.0,33,6,0.69,3.78
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,CONTROL,Very High,Medium Engagement,2025-08-01,2025-08-31,30.25,0.0,36,5,0.84,6.05
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,TEST,High,High Engagement,2025-08-01,2025-08-31,444.76,71.4,319,79,1.39,5.63
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,TEST,High,Low Engagement,2025-08-01,2025-08-31,221.15,41.4,209,41,1.06,5.39
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,TEST,High,Medium Engagement,2025-08-01,2025-08-31,345.86,50.4,214,58,1.62,5.96
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,TEST,Moderate,High Engagement,2025-08-01,2025-08-31,296.55,48.4,219,53,1.35,5.6
CMP-2025-002,Summer Retention Offer,Champion,Medium Value,Upsell - Scale,TEST,Moderate,Low Engagement,2025-08-01,2025-08-31,199.29,33.8,138,40,1.44,4.98
